english,french,korean,spanish,vietnamese
a,un,이,un,một
able,capable,수,capaz,thể
about,sur,에 대한,acerca,về
above,au-dessus,위,por encima de,trên đây
act,acte,행위,acto,hành động
add,ajouter,추가,añadir,thêm
afraid,peur,두려워,miedo,sợ
after,après,후,después,sau khi
again,encore,다시,de nuevo,một lần nữa
against,contre,에 대하여,contra,chống lại
age,âge,연령,edad,tuổi
ago,il ya,전,hace,trước
agree,se mettre d’accord,동의,acuerdo,đồng ý
air,air,공기,aire,không khí
all,tous,모든,todo,tất cả
allow,permettre,수,permitir,cho phép
also,aussi,또한,también,cũng
always,toujours,항상,siempre,luôn luôn
am,h,어디로,am,là
among,entre,중,entre,trong
an,un,이,un,một
and,et,과,y,và
anger,colère,분노,cólera,tức giận
animal,animal,동물,animal,động vật
answer,réponse,답변,respuesta,câu trả lời
any,tout,모든,cualquier,bất kỳ
appear,apparaître,표시,aparecerá,xuất hiện
apple,pomme,사과,manzana,táo
are,sont,아르,son,là
area,zone,지역,zona,khu vực
arm,bras,팔,brazo,cánh tay
arrange,organiser,준비,organizar,sắp xếp
arrive,arriver,도착,llegar,đến
art,art,예술,arte,nghệ thuật
as,comme,로,como,như
ask,interroger,문의,preguntar,xin
at,à,에,en,tại
atom,atome,원자,átomo,nguyên tử
baby,bébé,아가,bebé,bé
back,arrière,다시,espalda,trở lại
bad,mauvais,나쁜,mal,xấu
ball,balle,공,bola,bóng
band,bande,밴드,banda,ban nhạc
bank,banque,은행,banco,ngân hàng
bar,bar,바,barra,thanh
base,base,기본,base de,cơ sở
basic,de base,기본,básico,cơ bản
bat,chauve-souris,박쥐,bate,bat
be,être,있다,ser,được
bear,porter,곰,soportar,chịu
beat,battre,이길,batir,đánh bại
beauty,beauté,아름다움,belleza,vẻ đẹp
bed,lit,침대,cama,giường
been,été,하고,estado,được
before,avant,이전,antes,trước
began,a commencé,시작,comenzó,bắt đầu
begin,commencer,시작,comenzar,bắt đầu
behind,derrière,뒤에,detrás,sau
believe,croire,생각,creer,tin
bell,cloche,벨,campana,chuông
best,meilleur,가장,mejor,tốt nhất
better,mieux,더,mejor,tốt hơn
between,entre,사이,entre,giữa
big,grand,큰,grande,lớn
bird,oiseau,조류,pájaro,chim
bit,peu,비트,bit,bit
black,noir,블랙,negro,đen
block,bloc,블록,bloque,khối
blood,sang,피,sangre,máu
blow,coup,타격,golpe,đòn
blue,bleu,푸른,azul,màu xanh
board,conseil,판,bordo,hội đồng quản trị
boat,bateau,보트,barco,thuyền
body,corps,몸,cuerpo,cơ thể
bone,os,골,hueso,xương
book,livre,책,libro,cuốn sách
born,né,태어난,nacido,sinh
both,tous les deux,모두,ambos,cả hai
bottom,bas,바닥,inferior,dưới
bought,acheté,구입,comprado,mua
box,boîte,상자,caja,hộp
boy,garçon,소년,niño,cậu bé
branch,branche,지점,rama,chi nhánh
bread,pain,빵,pan,bánh mì
break,pause,단절,rotura,nghỉ
bright,clair,밝은,brillante,sáng
bring,apporter,가져,traer,mang lại
broad,large,폭 넓은,amplio,rộng
broke,cassé,파산,rompió,đã phá vỡ
brother,frère,형제,hermano,anh trai
brought,apporté,가져,traído,mang
brown,brun,갈색,marrón,nâu
build,construire,구축,construir,xây dựng
burn,brûler,구울,quemar,ghi
busy,occupé,바쁜,ocupado,bận rộn
but,mais,하지만,pero,nhưng
buy,acheter,사기,comprar,mua
by,par,에 의해,por,bởi
call,appel,통화,llamada,gọi
came,est venu,온,vino,đến
camp,camp,캠프,campamento,trại
can,boîte,수,lata,có thể
capital,capital,자본,de capital,vốn
captain,capitaine,주장,capitán,đội trưởng
car,voiture,자동차,coche,xe
card,carte,카드,tarjeta,thẻ
care,soins,주의,cuidado,chăm sóc
carry,porter,수행,llevar,thực hiện
case,cas,경우,caso,khi
cat,chat,고양이,gato,mèo
catch,capture,캐치,capturas,bắt
caught,pris,적발,capturado,bắt
cause,la cause,원인,causa,nguyên nhân
cell,cellule,셀,celular,pin
cent,cent,센트,ciento,phần trăm
center,centre,센터,centro,trung tâm
century,siècle,세기,siglo,thế kỷ
certain,certain,어떤,cierto,nhất định
chair,chaise,의자,silla,ghế
chance,chance,기회,oportunidad,cơ hội
change,changement,변경,cambio,thay đổi
character,caractère,문자,carácter,nhân vật
charge,charger,충전,cobrar,phí
chart,graphique,차트,tabla,biểu đồ
check,vérifier,확인,comprobar,kiểm tra
chick,poussin,병아리,polluelo,gà
chief,chef,장,jefe,trưởng
child,enfant,아이,niño,con
children,enfants,어린이,niños,trẻ em
choose,choisir,선택,elegir,chọn
chord,corde,코드,acorde,hợp âm
circle,cercle,원,círculo,vòng tròn
city,ville,도시,ciudad,thành phố
claim,revendication,제,reclamación,xin
class,classe,클래스,clase,lớp
clean,propre,청소,limpia,sạch
clear,clair,명확한,claro,trong
climb,montée,등반,ascenso,lên cao
clock,horloge,시계,reloj,đồng hồ
close,proche,가까이,cerrar,gần
clothe,vêtir,의복을 걸치다,vestir,mặc
cloud,nuage,구름,nube,điện toán đám mây
coast,côte,해안,costa,bờ biển
coat,manteau,코트,abrigo,áo
cold,froid,감기,frío,lạnh
collect,recueillir,수집,recoger,thu thập
colony,colonie,식민지,colonia,thuộc địa
color,couleur,색,colores,màu
column,colonne,열,columna,cột
come,venir,올,venir,đến
common,commun,공통의,común,phổ biến
company,entreprise,회사,empresa,công ty
compare,comparer,비교,comparar,so sánh
complete,complète,완료,completo,hoàn thành
condition,condition,조건,condición,điều kiện
connect,relier,연결,conectar,kết nối
consider,envisager,고려,considerar,xem xét
consonant,consonne,자음,consonante,phụ âm
contain,contenir,포함,contener,chứa
continent,continent…,대륙,continente,lục
continue,continuer,계속,continuar,tiếp tục
control,contrôle,제어,el control,kiểm soát
cook,cuisinier,요리,cocinero,nấu ăn
cool,frais,멋진,fresco,mát mẻ
copy,copie,복사,copia,bản sao
corn,blé,옥수수,maíz,ngô
corner,coin,코너,esquina,góc
correct,correct,정확한,correcta,chính xác
cost,coût,비용,costo,chi phí
cotton,coton,면,algodón,bông
could,pourrait,수,podía,có thể
count,compter,계산,contar,tính
country,pays,국가,país,nước
course,cours,물론,curso,tất nhiên
cover,couvercle,덮개,cubierta,bìa
cow,vache,소,vaca,bò
crease,pli,주름,pliegue,nếp
create,créer,작성,crear,tạo
crop,récolte,작물,de cultivos,cây trồng
cross,traverser,교차,cruzar,qua
crowd,foule,군중,multitud,đám đông
cry,cri,울음 소리,grito,kêu
current,courant,현재,actual,hiện tại
cut,coupe,컷,cortada,cắt
dad,papa,아빠,papá,cha
dance,danse,댄스,danza,khiêu vũ
danger,danger,위험,peligro,nguy hiểm
dark,sombre,어두운,oscuro,tối
day,jour,일,día,ngày
dead,mort,죽은,muerto,chết
deal,accord,거래,acuerdo,thỏa thuận
dear,cher,친애,querido,thân yêu
death,décès,죽음,muerte,chết
decide,décider,결정,decidir,quyết định
decimal,décimal,소수점,decimal,số thập phân
deep,profond,깊은,profunda,sâu
degree,degré,도,grado,mức độ
depend,dépendre,따라,dependerá,phụ thuộc
describe,décrire,설명,describir,mô tả
desert,désert,사막,desierto,sa mạc
design,conception,디자인,diseño,thiết kế
determine,déterminer,결정,determinar,xác định
develop,développer,개발,desarrollar,phát triển
dictionary,dictionnaire,사전,diccionario,từ điển
did,fait,한,hizo,đã làm
die,mourir,죽다,morir,chết
differ,différer,차이,ser distinto,khác nhau
difficult,difficile,어려운,difícil,khó khăn
direct,direct,직접,directa,trực tiếp
discuss,discuter,논의,discutir,thảo luận
distant,lointain,먼,distante,xa
divide,fracture,분할,brecha,chia
division,division,부문,división,phân chia
do,faire,할,hacer,làm
doctor,médecin,의사,médico,bác sĩ
does,ne,하지,hace,không
dog,chien,개,perro,con chó
dollar,dollar,달러,dólar,đồng đô la
done,terminé,완료,hecho,xong
don’t,needs a context,하지,no,không
door,porte,문,puerta,cửa
double,double,더블,doble,đôi
down,vers le bas,아래로,abajo,xuống
draw,tirer,그리,dibujar,vẽ
dream,rêver,꿈,soñar,mơ
dress,robe,드레스,vestido,váy
drink,boisson,한잔,bebida,ly
drive,entraînement,드라이브,unidad,ổ đĩa
drop,tomber,드롭,caer,rơi
dry,sec,건조,seco,khô
duck,canard,오리,pato,vịt
during,pendant,중,durante,trong khi
each,chaque,각,cada,môi
ear,oreille,귀,oído,tai
early,tôt,초기,temprana,đầu
earth,terre,지구,tierra,đất
ease,facilité,완화,aliviar,giảm bớt
east,est,동쪽,al este,đông
eat,manger,식사,comer,ăn
edge,bord,에지,borde,cạnh
effect,effet,효과,efecto,hiệu lực
egg,œuf,계란,huevo,trứng
eight,huit,팔,ocho,tám
either,chaque,중,ya sea,hoặc
electric,électrique,전기,eléctrica,điện
element,élément,요소,elemento,yếu tố
else,autre,다른,demás,khác
end,fin,끝,fin,cuối
enemy,ennemi,적,enemigo,kẻ thù
energy,énergie,에너지,energía,năng lượng
engine,moteur,엔진,motor,động cơ
enough,assez,충분히,suficiente,đủ
enter,entrer,입력,entrar,nhập
equal,égal,동일,igual,như nhau
equate,assimiler,동일시,equiparar,đánh đồng
especially,particulièrement,특히,especialmente,đặc biệt là
even,même,도,incluso,thậm chí
evening,soirée,저녁,noche,buổi tối
event,événement,이벤트,evento,sự kiện
ever,jamais,지금까지,nunca,bao giờ
every,tous,모든,cada,mỗi
exact,exact,정확한,exacta,chính xác
example,exemple,예,ejemplo,ví dụ
except,sauf,제외,excepto,trừ
excite,exciter,흥분,excitar,kích thích
exercise,exercice,운동,ejercicio,tập thể dục
expect,attendre,기대,esperar,mong đợi
experience,expérience,경험,experiencia,kinh nghiệm
experiment,expérience,실험,experimento,thí nghiệm
eye,œil,눈,ojo,mắt
face,face,얼굴,cara,khuôn mặt
fact,fait,사실,hecho,thực tế
fair,juste,박람회,justo,công bằng
fall,tomber,가을,caer,giảm
family,famille,가족,familia,gia đình
famous,célèbre,유명한,famoso,nổi tiếng
far,loin,까지,ahora,đến nay
farm,ferme,농장,granja,trang trại
fast,rapide,빠른,rápido,nhanh chóng
fat,graisse,지방,grasa,chất béo
father,père,아버지,padre,cha
favor,favoriser,호의,favorecer,ủng hộ
fear,peur,무서움,miedo,sợ hãi
feed,alimentation,먹이,pienso,thức ăn chăn nuôi
feel,sentir,느낌,sentir,cảm thấy
feet,pieds,피트,pies,chân
fell,est tombé,하락,cayó,giảm
felt,feutre,느낌,sentido,cảm thấy
few,peu,조금,pocos,số
field,domaine,필드,campo,lĩnh vực
fig,figue,그림,higo,sung
fight,lutte,싸움,lucha,cuộc chiến
figure,figure,그림,figura,con số
fill,remplir,입력,llenar,điền
final,finale,최종,último,thức
find,trouver,발견,encontrar,tìm
fine,fin,잘,fina,tốt
finger,doigt,손가락,dedo,ngón tay
finish,finition,끝,acabado,kết thúc
fire,feu,화재,fuego,lửa
first,première,첫째,primero,đầu tiên
fish,poisson,물고기,peces,cá
fit,s’adapter,적합,encajar,phù hợp với
five,cinq,오,cinco,năm
flat,plat,플랫,plana,phẳng
floor,étage,바닥,piso,sàn
flow,débit,흐름,fluir,chảy
flower,fleur,꽃,flor,hoa
fly,voler,비행,volar,bay
follow,suivre,따라,siga,theo
food,nourriture,음식,alimentos,thực phẩm
foot,pied,발,pie,chân
for,pour,에 대한,para,cho
force,force,힘,fuerza,lực
forest,forêt,숲,bosque,rừng
form,forme,양식,forma,hình thức
forward,avant,앞으로,adelante,về phía trước
found,trouvé,발견,encontrado,tìm thấy
four,quatre,네,cuatro,bốn
fraction,fraction,분수,fracción,phần
free,gratuit,무료,libre,miễn phí
fresh,frais,신선한,fresco,tươi
friend,ami,친구,amigo,người bạn
from,à partir de,부터,desde,từ
front,avant,앞,delante,trước
fruit,fruit,과일,fruta,trái cây
full,plein,전체,completo,đầy đủ
fun,amusement,재미,diversión,vui vẻ
game,jeu,게임,juego,trò chơi
garden,jardin,정원,jardín,vườn
gas,gaz,가스,gas,khí
gather,recueillir,수집,reunir,thu thập
gave,donné,준,dio,đã
general,général,일반,general,chung
gentle,doux,부드러운,suave,nhẹ nhàng
get,obtenir,도착,conseguir,được
girl,fille,소녀,chica,cô gái
give,donner,제공,dar,cung cấp cho
glad,heureux,다행,contento,vui
glass,verre,유리,vidrio,kính
go,aller,이동,ir,đi
gold,or,금,oro,vàng
gone,disparu,사라,se ha ido,ra đi
good,bon,좋은,buena,tốt
got,eu,있어,conseguido,có
govern,gouverner,적용,gobernar,phối
grand,grandiose,그랜드,gran,lớn
grass,herbe,잔디,hierba,cỏ
gray,gris,회색,gris,màu xám
great,grand,큰,gran,tuyệt vời
green,vert,녹색,verde,màu xanh lá cây
grew,a augmenté,성장,creció,tăng
ground,sol,지상,suelo,mặt đất
group,groupe,그룹,grupo,nhóm
grow,croître,성장,crecer,phát triển
guess,deviner,추측,adivinar,đoán
guide,guider,가이드,guiar,hướng dẫn
gun,pistolet,총,pistola,súng
had,eu,했다,tenido,có
hair,cheveux,머리,pelo,lông
half,moitié,반,medio,một nửa
hand,main,손,mano,tay
happen,arriver,일,suceder,xảy ra
happy,heureux,행복,feliz,hạnh phúc
hard,dur,단단한,duro,cứng
has,a,이,tiene,có
hat,chapeau,모자,sombrero,mũ
have,avoir,이,tener,có
he,il,그,él,ông
head,tête,머리,cabeza,đầu
hear,entendre,듣다,escuchar,nghe
heard,entendu,들어,oído,nghe
heart,cœur,마음,corazón,tim
heat,chaleur,열,calor,nhiệt
heavy,lourd,무거운,pesada,nặng
held,en attente,개최,en espera,được tổ chức
help,aider,도움,ayudar,giúp
her,son,그녀의,su,cô
here,ici,여기,aquí,ở đây
high,haut,높은,alto,cao
hill,colline,언덕,colina,đồi
him,lui,그,él,anh
his,son,그의,su,mình
history,histoire,역사,historia,lịch sử
hit,frapper,히트,golpear,nhấn
hold,tenir,개최,mantenga,giư
hole,trou,구멍,agujero,lỗ
home,maison,홈,casa,nhà
hope,espoir,기대,esperanza,hy vọng
horse,cheval,말,caballo,ngựa
hot,chaud,뜨거운,caliente,nóng
hour,heure,시간,horas,giờ
house,maison,집,casa,nhà
how,comment,방법,cómo,như thế nào
huge,énorme,거대한,enorme,to
human,humain,인간,humana,con người
hundred,cent,백,cien,trăm
hunt,chasse,사냥,caza,săn
hurry,se dépêcher,서둘러,prisa,nhanh
i,je,나는,i,tôi
ice,glace,얼음,hielo,băng
idea,idée,아이디어,gusta,ý tưởng
if,si,면,si,nếu
imagine,imaginer,상상,imaginar,tưởng tượng
in,dans,에,en,trong
inch,pouce,인치,pulgadas,inch
include,inclure,포함,incluir,bao gồm
indicate,indiquer,표시,indicar,chỉ ra
industry,industrie,산업,industria,ngành công nghiệp
insect,insecte,곤충,insecto,côn trùng
instant,instant,인스턴트,instantánea,ngay lập tức
instrument,instrument,악기,instrumento,cụ
interest,intérêt,관심,interés,quan tâm
invent,inventer,발명하다,inventar,phát minh
iron,fer,철,hierro,sắt
is,est,이다,es,là
island,île,섬,isla,đảo
it,il,그,lo,nó
job,emploi,작업,trabajo,công việc
join,joindre,가입,unirse,tham gia
joy,joie,즐거움,alegría,niềm vui
jump,sauter,점프,saltar,nhảy
just,juste,단지,sólo,chỉ
keep,garder,유지,mantener,giữ
kept,conservé,유지,guardado,giữ
key,clé,키,clave,chính
kill,tuer,죽,matar,giết
kind,genre,종류,tipo,loại
king,roi,왕,rey,vua
knew,savait,알고,sabía,biết
know,savoir,알고,saber,biết
lady,dame,아가씨,dama,phụ nữ
lake,lac,호수,lago,hồ
land,terre,땅,tierra,đất
language,langue,언어,idioma,ngôn ngữ
large,grand,큰,grande,lớn
last,dernier,마지막,último,cuối cùng
late,tard,후반,tarde,cuối
laugh,rire,웃음,risa,cười
law,droit,법,ley,pháp luật
lay,poser,누워,sentar,đặt
lead,conduire,지도,conducir,dẫn
learn,apprendre,학습,aprender,học
least,moins,이상,menos,nhất
leave,laisser,떠나,dejar,lại
led,led,주도,llevado,dẫn
left,gauche,왼쪽,izquierda,còn lại
leg,jambe,다리,pierna,chân
length,longueur,길이,longitud,chiều dài
less,moins,이하,menos,ít
let,laisser,하자,dejar,cho phép
letter,lettre,편지,carta,thư
level,niveau,수준,nivel,mức
lie,mensonge,거짓말,mentira,lời nói dối
life,vie,생활,vida,cuộc sống
lift,ascenseur,리프트,ascensor,thang máy
light,lumière,빛,luz,ánh sáng
like,comme,같은,como,như
line,ligne,온라인,línea,dòng
liquid,liquide,액체,líquido,chất lỏng
list,liste,표,lista,danh sách
listen,écouter,청취,escuchar,lắng nghe
little,peu,작은,poco,ít
live,vivre,살고있다,vivir,sống
locate,localiser,위치,localizar,xác định vị trí
log,enregistrer,로그인,log,đăng nhập
lone,seul,고독한,solitario,đơn độc
long,long,긴,largo,lâu
look,regarder,봐,buscar,xem
lost,perdu,손실,perdido,thua
lot,lot,많은,mucho,rất nhiều
loud,fort,큰 소리로,fuerte,lớn
love,amour,사랑,amar,tình yêu
low,faible,낮은,bajo,thấp
machine,machine,기계,máquina,máy
made,fabriqué,만든,hecho,thực hiện
magnet,aimant,자석,imán,nam châm
main,principal,주,principal,chính
major,majeur,주요,importante,chính
make,faire,확인,hacer,làm
man,homme,사람,hombre,người đàn ông
many,beaucoup,많은,muchos,nhiều
map,carte,지도,mapa,bản đồ
mark,marque,마르크,marca,đánh dấu
market,marché,시장,mercado,thị trường
mass,masse,질량,masa,khối lượng
master,maître,마스터,master,chủ
match,rencontre,경기,partido,trận đấu
material,matériel,재료,materiales,tài liệu
matter,question,문제,materia,vấn đề
may,peut,수도,puede,có thể
me,moi,나를,me,tôi
mean,signifier,의미,significará,có nghĩa là
meant,signifiait,의미,significado,có nghĩa là
measure,mesurer,측정,medir,đo lường
meat,viande,고기,carne,thịt
meet,se rencontrent,대회,se reúnen,đáp ứng
melody,mélodie,멜로디,melodía,giai điệu
men,hommes,남자,hombres,người đàn ông
