Text,Language
Nature (Engels voor 'natuur') is een Brits vooral natuurwetenschappelijk tijdschrift.,Dutch
Het staat als gerenommeerd bekend.,Dutch
Het verscheen voor het eerst op 4 november 1869[1] en werd opgericht door de amateur-astronoom Norman Lockyer.,Dutch
Het groeide uit van een eenvoudige publicatie voor amateur-wetenschappers tot een van de meest gerenommeerde wetenschappelijke tijdschriften.,Dutch
Een publicatie in Nature wordt door wetenschappers zeer hoog aangeslagen.,Dutch
"Er zijn geen tijdschriften met een hogere impactfactor, behalve misschien Science, dat met Nature om de toppositie concurreert.",Dutch
De impactfactor van Nature schommelt rond de 40.[bron?],Dutch
"Hoewel Nature een lichte nadruk op biologie legt, accepteert het artikelen uit allerlei wetenschappelijke vakgebieden.",Dutch
"Er zijn inmiddels diverse speciale edities die zich met aparte vakgebieden bezighouden: Verder bestaan er nog enkele edities van Nature Reviews, waarin hoogkwalitatieve overzichtsartikelen verschijnen.",Dutch
"Gemeinsame Normdatei: 4499779-6Bibliotheek van het Japanse parlement: 001097666Virtual International Authority File: 193146331915918691819 WorldCat Identities (via VIAF): 193146331915918691819 Wikipedia is een meertalige internetencyclopedie, die door auteurs op vrijwillige basis wordt geschreven.",Dutch
"Wikipedia wordt gepubliceerd onder een vrije licentie, waardoor de inhoud elders opnieuw te gebruiken is.",Dutch
De website is eigendom van de Wikimedia Foundation; het is het oudste en bekendste project van deze organisatie.,Dutch
"Wikipedia is opgezet in de vorm van een wiki, hetgeen betekent dat elke inhoudelijke pagina door iedere bezoeker bewerkt kan worden.",Dutch
Voor Wikipedia is een apart programma ontworpen.,Dutch
"De software, MediaWiki, is opensourcesoftware die ook gebruikt wordt door de andere projecten van de Wikimedia Foundation en door talloze andere projecten en bedrijven.",Dutch
"Op Wikipedia gelden vijf principes, zuilen genoemd:[2] Naast deze drie zuilen gelden twee interne zuilen: De naam Wikipedia is een samentrekking van wiki, dat in het Hawaiiaans snel betekent, en het Engelse woord encyclopedia.",Dutch
"Wikipedia was de eerste serieuze, algemene, digitale encyclopedie waarbij met het wiki-concept gewerkt werd.",Dutch
"In vergelijking met andere concepten om informatie te verzamelen heeft dit tot gevolg dat Wikipedia, daar waar het actuele informatie betreft, in het algemeen snel bijgewerkt is.",Dutch
Daar verwijst het eerder genoemde woord wiki ook naar.,Dutch
Kenmerkend voor het project en het succes ervan is tevens het feit dat de inhoud onder een vrije licentie valt.,Dutch
Alle tekst en media worden door Wikipedia door middel van de GFDL- (en sinds 2008) CC-BY-SA-licentie vrijgegeven en beschikbaar gesteld voor het publiek.,Dutch
"Iedere auteur blijft eigenaar van zijn bijdrage, maar anderen kunnen voortbouwen op individuele bijdragen.",Dutch
De vrijgave van bijdragen onder de CC-BY-SA-licentie is definitief en kan niet ingetrokken worden.,Dutch
"Eenieder is daarmee gerechtigd de inhoud kosteloos te verspreiden en/of te wijzigen, terwijl niemand de toegang tot een uit Wikipedia overgenomen en eventueel gewijzigde inhoud kan worden onthouden.",Dutch
"Wikipedia presenteert zich daarbij uitdrukkelijk als een encyclopedie en niet als bijvoorbeeld een woordenboek, discussieforum of webportaal.",Dutch
Voor lexicografische informatie is het zusterproject Wiktionary (in het Nederlands WikiWoordenboek) in het leven geroepen.,Dutch
Voor mobiele apparaten zijn ook speciale apps beschikbaar.,Dutch
Over de documentering van de menselijke kennis wordt al vele jaren nagedacht.,Dutch
"Onder andere de bibliograaf Paul Otlet, bedenker van de Universele Decimale Classificatie (UDC), wijdde zijn leven aan de vraag hoe gegevens en kennis toegankelijk gemaakt kunnen worden in een Universeel Boek of een vernuftig kaartsysteem met behulp van een machinaal systeem.",Dutch
"[3] Later streefde Herbert George Wells naar een World Brain,[4] een samenvatting van alle kennis op microfilm.",Dutch
Ook Vannevar Bush dacht dat de toekomst van volledige documentatie lag in een systeem met microfilm: Memex.,Dutch
[5] In 1960 begon Ted Nelson met zijn Project Xanadu dat gebruikmaakte van hypertekst.,Dutch
De Compton's Interactive Encyclopedia van Philips' CDI (1992) en Encarta (1993) van Microsoft waren de eerste encyclopedieën op cd-rom die gebruikmaakten van hyperlinks.,Dutch
"Wikipedia is een modern antwoord en maakt gebruik van de nieuwe mogelijkheden van www, internet en software voor samenwerking.",Dutch
"Wikipedia werd in 2001 opgericht door de Amerikaanse ondernemer Jimmy Wales, samen met zijn medewerker Larry Sanger.",Dutch
"In 2003 droeg Wales zijn rechten op de naam Wikipedia, de website zelf en de servers waarop deze draaide over aan de Wikimedia Foundation, een stichting die hij oprichtte om het behoud en de verdere ontwikkeling van Wikipedia langdurig mogelijk te maken.",Dutch
De stichting leeft bijna uitsluitend van donaties en had anno 2017 in de Verenigde Staten ongeveer 280 betaalde medewerkers.,Dutch
Wikipedia zelf wordt echter door vrijwilligers beheerd en geschreven.,Dutch
"Het project Wikipedia begon met een conversatie tussen twee internetvrienden, Larry Sanger, hoofdredacteur van Nupedia en Ben Kovitz, een computerprogrammeur en bèta-wetenschapper, op de avond van 3 januari 2001 in San Diego (Californië).",Dutch
Kovitz had al eerder te maken gehad met een ander soort wikiproject.,Dutch
"Toen hij het basisconcept aan Sanger uitlegde, zag deze onmiddellijk dat het wikiformat geschikt zou zijn voor het opzetten van een opener, minder formeel project dan Nupedia.",Dutch
"Vier maanden daarvoor hadden Sanger en zijn baas Jimmy Wales, president-directeur van Bomis, Inc., al eens verschillende mogelijkheden besproken om naast Nupedia een opener, aanvullend project te beginnen.",Dutch
Het kostte Sanger dus niet veel moeite om Wales over te halen een wiki voor Nupedia op te zetten.,Dutch
Nupedia's eerste wiki ging online op 10 januari 2001.,Dutch
"Van de kant van de auteurs en redacteuren van Nupedia kwam echter het nodige protest tegen het plan om Nupedia zo nauw te associëren met een webpagina, gebaseerd op het wikiconcept.",Dutch
"Daarom kreeg het nieuwe project per 15 januari de naam 'Wikipedia' en een eigen, onafhankelijk adres op het web.",Dutch
Deze datum werd later uitgeroepen tot Wikipediadag.,Dutch
Nieuwe deelnemers meldden zich aan via een publicatie van Slashdot in maart en juli.,Dutch
"Ook andere publicaties trokken deelnemers, zoals die op Kuro5hin.",Dutch
Zoekmachines (vooral Google) en andere portals dirigeerden dagelijks honderden potentiële deelnemers naar Wikipedia.[bron?],Dutch
Op 12 februari 2001 werd in de Engelstalige Wikipedia de eerste mijlpaal van 1000 artikelen (pagina's) overschreden; daarna groeide het aantal artikelen met circa 1000 per maand en inmiddels (2020) met ongeveer 150.000 per maand[6].,Dutch
Op 19 juni 2001 ging de Nederlandstalige versie van Wikipedia van start.,Dutch
"De oorspronkelijke en verreweg de grootste van alle Wikipedia's is de Engelstalige versie, die van start ging op 15 januari 2001.",Dutch
Het oorspronkelijke doel was te komen tot een minimum van 100.000 artikelen.,Dutch
"Toen dat aantal eenmaal was bereikt, ging de groei echter nog volop door.",Dutch
Vanaf de zomer van 2001 zijn er naast de oorspronkelijke Engelstalige versie steeds meer Wikipedia's in andere talen gestart.,Dutch
"Na de Engelstalige waren in 2015, gemeten naar het aantal individuele artikelen, de Duits-, Frans-, Nederlands- en Zweedstalige Wikipedia's het grootst.",Dutch
"Opgemerkt moet worden dat dit niets zegt over de grootte, de (gemiddelde) kwaliteit of de diversiteit van de artikelen.",Dutch
In totaal waren er in februari 2015 meer dan 34 miljoen artikelen te vinden in 288 verschillende talen.,Dutch
"Er zijn ook enkele Wikipedia's opgestart in minderheidstalen, dialecten en inmiddels uitgestorven talen (zoals het Latijn en Oudengels).",Dutch
Zo bevatte de Wikipedia in het Zazaki begin 2010 ongeveer 2800 artikelen.,Dutch
"Er zijn eveneens versies begonnen in enkele bekende kunsttalen, zoals het Esperanto en het Klingon.",Dutch
[7] Een aantal van deze Wikipedia's bleek echter over onvoldoende vaste bijdragers te beschikken om de projecten draaiende te houden.,Dutch
Deze weinig levensvatbare projecten zijn inmiddels weer gesloten en/of in de Wikimedia Incubator beland.,Dutch
De meeste opslagcapaciteit is nodig voor de afbeeldingen en andere media die op Wikipedia gebruikt worden.,Dutch
Op 15 januari 2009 meldde Wikizine dat er 48 terabyte opslagruimte beschikbaar was gekomen voor Wikimedia Commons.,Dutch
Op dat moment werd daar 5 terabyte van gebruikt.,Dutch
[8] In de maanden augustus en september 2003 werd een internationale logowedstrijd gehouden.,Dutch
Het logo van Paul Stansifer werd met grote meerderheid verkozen.,Dutch
Daarna werd dit aangepast tot een grijze versie op basis van hetzelfde idee.,Dutch
"Vanaf 2005 begonnen de bewerkers (users, in het Nederlands vaak ""gebruikers"" genoemd) op Wikipedia steeds meer samen te werken met culturele instellingen en andere organisaties om meer materiaal beschikbaar te krijgen voor het gebruik op Wikipedia.",Dutch
"Er wordt samengewerkt met onder andere musea, galeries, archieven en bibliotheken om zo meer specialistische informatie en vooral ook beeldmateriaal om meer artikelen hiervan te kunnen voorzien.",Dutch
"In Nederland leverde bijvoorbeeld het Tropenmuseum meer dan 8.000 afbeeldingen over de Marrons, Suriname en Indonesië,[9][10] het Nationaal Archief in Den Haag en Spaarnestad Photo te Haarlem doneren ruim 1100 foto's van Nederlandse politici en belangrijke gebeurtenissen in Nederland[11] en het Amsterdam Museum doneerde in 2011 zijn digitale collectie van 55.000 foto's.",Dutch
[12] De Rijksdienst voor het Cultureel Erfgoed (RCE) heeft in september 2012 van de 555.000 afbeeldingen van haar collectie er 465.000 vrijgegeven met een maximale pixelgrootte van 1200 pixels onder de cc-by-sa-3.0-nl licentie.,Dutch
Sinds 2010 wordt de samenwerking tussen Wikipedia en culturele instellingen verder geïntensiveerd met de aanstelling van een 'Wikipedian in Residence' bij de instellingen zelf om hun materiaal via Wikipedia te ontsluiten.,Dutch
"[13] Op 15 januari 2016, de 15e verjaardag van Wikipedia, werd bekend dat er een fonds was opgericht, de Wikimedia Endowment, dat de komende 10 jaar 100 miljoen dollar moet gaan inzamelen teneinde het voortbestaan van Wikipedia op de lange termijn te garanderen.",Dutch
[14] In mei 2004 ontving Wikipedia de Golden Nica voor digitale gemeenschappen van de jaarlijkse Prix Ars Electronica-wedstrijd.,Dutch
"Later dat jaar ontving Wikipedia de Judges' Webby Award in de categorie ""community"".",Dutch
"[15] Wikipedia werd ook genomineerd voor de ""Best Practices"" prijs.",Dutch
"In 2007 stemden de lezers van de website brandchannel.com voor Wikipedia als 4de in de lijst van merken, via het antwoord op de vraag ""Welk merk had de grootste invloed op onze levens in 2006?""",Dutch
"In september 2008 ontving Wikipedia de ""Quadriga A Mission of Enlightenment"" van Werkstatt Deutschland samen met Boris Tadić, Eckart Höfling en Peter Gabriel.",Dutch
Deze prijs werd aangeboden aan Jimbo Wales door David Weinberger.,Dutch
"[16] Op 15 januari 2015 kreeg de Wikipediagemeenschap de Erasmusprijs toegekend, ""omdat zij de verspreiding van kennis heeft bevorderd door een allesomvattende, voor ieder toegankelijke encyclopedie op te zetten"".",Dutch
[17][18] Volgens de organisatie van de prijs droeg Wikipedia door haar open karakter bij aan het besef dat bronnen van kennis niet neutraal zijn en steeds gewogen moeten worden.,Dutch
Met deze kritische aandacht sloot Wikipedia goed aan bij het gedachtegoed van Erasmus.,Dutch
Op 25 november 2015 reikte koning Willem-Alexander deze prijs uit aan drie vertegenwoordigers van de gemeenschap.,Dutch
[19] Op 17 juni 2015 werd de jaarlijkse Prinses van Asturiëprijs voor internationale samenwerking toegekend aan Wikipedia.,Dutch
[20] Wikipedia heeft net als andere wiki's te kampen met vandalisme.,Dutch
Hiervoor zijn hulpmiddelen beschikbaar om vandalisme te bestrijden en bijvoorbeeld misbruik van sokpopaccounts op te sporen.,Dutch
'Onzichtbaar vandalisme' en hoaxen blijken echter hardnekkiger te zijn.,Dutch
Door subtiele wijzigingen (beperkte weglatingen of wijziging van de opmaak) kan een heel andere wending aan een artikel worden gegeven.,Dutch
Ook kan iemand per ongeluk foutieve informatie toevoegen.,Dutch
"Wanneer niemand doorheeft dat de informatie onjuist is, kan die maandenlang op Wikipedia blijven staan.",Dutch
"Zo zijn er gevallen bekend van artikelen over niet-bestaande personen, waar wel maandenlang een artikel over bestond.",Dutch
Artikelen op Wikipedia scoren over het algemeen hoog in de zoekmachines.,Dutch
Dit heeft als neveneffect dat ook eventuele foutieve informatie zich vanaf Wikipedia snel over het internet kan verspreiden.,Dutch
Wikipedia wordt bewerkt door vrijwilligers en heeft een open structuur.,Dutch
In principe kan iedereen daardoor meewerken aan de encyclopedie.,Dutch
In de praktijk blijkt er echter geen sprake van een volledige afspiegeling van de maatschappij.,Dutch
Zo komt uit onderzoek van de Wikimedia Foundation naar enkele kenmerken van bewerkers van Wikipedia naar voren dat de meerderheid van de bewerkers mannelijk is en geen partner en kinderen heeft.,Dutch
"Ongeveer de helft valt in de leeftijd tussen 18 en 30 jaar oud, terwijl de groep jonger dan 18 zo'n 25% bedraagt.",Dutch
"Het dominante profiel van de bewerkers heeft - algemeen gesproken - gevolgen voor het soort en aantal artikelen en daarnaast ook voor de inhoud van artikelen, wat Dale Hoiberg, voormalig hoofdredacteur van de Encyclopædia Britannica, een systematische fout of bias noemt.",Dutch
"In vergelijking met traditionele encyclopedieën is er dan ook meer aandacht voor sporters, informatica en popcultuur, terwijl onderwerpen als natuurwetenschap, taal, kunst en Afrika soms ondervertegenwoordigd zijn.",Dutch
Zo was bijvoorbeeld het artikel over de stripfiguren Casper en Hobbes op de Engelstalige Wikipedia een tijdlang uitgebreider dan dat over William Shakespeare.,Dutch
The Guardian gaf in 2014 aan dat een artikel op de Engelstalige Wikipedia met een lijst van porno-actrices meer voetnoten kende dan dat met een lijst van schrijfsters.,Dutch
"[21] Dit werd al vroeg onderkend, zoals bleek uit projecten als CROSSBOW en het wikiproject systematische bias, die echter niet van lange duur waren.",Dutch
Naast de kenmerken in het onderzoek van de Wikimedia Foundation spelen ook andere kenmerken een rol.,Dutch
"Zo verschilt de demografie per Wikipedia sterk, wat zijn invloed heeft op het soort artikelen en de inhoud daarvan.",Dutch
"Artikelen over bepaalde landen, volken, gebruiken en religies zullen niet op elke Wikipedia dezelfde aandacht krijgen.",Dutch
Andere initiatieven zijn onder meer het wegwerken van overmatige nadruk in artikelen op specifieke landen.,Dutch
[noot 1] De bewerkers van Wikipedia zijn merendeels mannelijk.,Dutch
"Daarom schreef de New Statesman dat de Engelstalige versie niet de ""sum of all knowledge"" was - de visie van Jimmy Wales, een van de oprichters van Wikipedia - maar eerder de ""sum of male knowledge"".",Dutch
[22] In het tijdschrift Slate noemde Heather Mac Donald dit in 2011 echter geen probleem: De eenvoudigste verklaring voor het verschil in deelname (...) is dat mannen en vrouwen gemiddeld andere interesses hebben en hun vrije tijd op een andere manier willen besteden.,Dutch
"[23] In 2011 bleek uit onderzoek dat de Engelstalige Wikipedia weliswaar meer artikelen over vrouwen had dan de Encyclopaedia Britannica, maar ook dat de kans dat een artikel over een vrouw ontbrak groter was dan over een man.",Dutch
Dat effect was bovendien sterker in de Wikipedia dan in de Britannica.,Dutch
[24] Uit onderzoek uit 2015 bleek dat de biografieën van vrouwen heel anders geschreven waren dan die van mannen.,Dutch
[25] Het gebrek aan artikelen over vrouwen werd belangrijk genoeg gevonden om met verschillende nieuwe projecten weg te werken.,Dutch
"Op de presentatie van artikelen in de userinterface van Wikipedia wordt wel kritiek geuit, omdat deze niet modern, rommelig en niet gebruiksvriendelijk zou zijn.",Dutch
"Een modernere presentatie van deze artikelen wordt bijvoorbeeld geboden door Wikiwand, een gepatenteerde software-interface die hiervoor is ontwikkeld.",Dutch
Wikiwand is zelf geen onderdeel van MediaWiki.,Dutch
In Het Financieele Dagblad verscheen in 2016 een artikel waarin werd gesteld dat Wikipedia negatief bijdraagt aan de economische groei.,Dutch
[noot 2][26] Wikipedia werd al eerder gezien als een oneerlijke concurrent voor traditionele encyclopedieën.,Dutch
"Nicholas Carr viel in The amorality of Web 2.0 (2005, Web 2.0 is amoreel) websites met gebruikersbijdragen als Wikipedia aan, omdat ze beroepsschrijvers (die volgens hem superieur zijn) het brood uit de mond kunnen stoten, want ""gratis wint altijd van kwaliteit"".",Dutch
"Carr schreef: ""De geestdriftige visioenen van Web 2.0 gaan er stilzwijgend van uit dat de amateur de overhand krijgt.",Dutch
"Maar ik kan me niets angstaanjagenders voorstellen"".",Dutch
[27] Anderen bestrijden dat Wikipedia of iets dergelijks de traditionele publicaties volledig gaat verdringen.,Dutch
"Chris Anderson, hoofdredacteur van Wired Magazine, beweerde in het natuurwetenschappelijke tijdschrift Nature dat Wikipedia met haar gebruik van groepsverstand (wisdom of crowds) de wetenschappelijke toptijdschriften niet zal vervangen, vanwege de andere rol en strenge procedures voor collegiale toetsing van die tijdschriften.",Dutch
[28] Wikipedia zou censuur willen vermijden.,Dutch
Zo werd in 2006 op de Duitstalige Wikipedia geweigerd om de naam van een overleden hacker te verwijderen toen de familie daarom vroeg.,Dutch
"[29] Ook werd in 2008 een platenhoes niet verwijderd nadat een Britse organisatie die hoes als kinderpornografie had bestempeld, waardoor in grote delen van het Verenigd Koninkrijk Wikipedia niet meer bereikbaar was.",Dutch
[30] Turkije blokkeerde van 29 april 2017 tot 16 januari 2020[31] de toegang tot alle talenversies van Wikipedia nadat de encyclopedie had geweigerd sommige inhoud te verwijderen.,Dutch
"[32][33] Niettemin werd in 2009 wel informatie verwijderd over de ontvoering van David S. Rohde door de taliban, omdat volgens de New York Times zijn leven in gevaar kon komen door het bekendmaken van de ontvoering.",Dutch
"[34] T. Bayer gaf in 2012 een overzicht van verschillende onderzoeken, die uitwezen dat de Engelse en Duitse Wikipedia gemiddeld betrouwbaar waren.",Dutch
"[35] Een vergelijking in september 2004 van de Duitstalige Wikipedia en twee andere Duitstalige encyclopedieën, Brockhaus en Encarta, door het computertijdschrift c't, viel in het voordeel van Wikipedia uit.",Dutch
In 2005 publiceerde Nature de resultaten van een vergelijkend onderzoek naar de kwaliteit van artikelen in de Engelse Wikipedia (WP) en de Encyclopædia Britannica (EB).,Dutch
"[36] Universitaire deskundigen bogen zich over natuurwetenschappelijke teksten, zonder te weten uit welke encyclopedie ze kwamen.",Dutch
In 42 paren van overeenkomstige artikelen uit beide encyclopedieën vonden ze zowel in WP als in EB totaal acht ernstige fouten.,Dutch
